prefix,itemPart,brand,sku,name,description,img,date,marketplace,notes
089102,10338,Gloria Duchin,GL13906/2,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10339,Gloria Duchin,GL13906/3,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10340,Gloria Duchin,GL13906/4,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10341,Gloria Duchin,GL13906/5,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10342,Gloria Duchin,2534E,,,,"Tue, 01 Jan 2002 00:00:00 GMT",,
089102,10343,Gloria Duchin,GL2431PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10344,Gloria Duchin,GL2485PJ,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10345,Gloria Duchin,GL2486PJ,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10346,Gloria Duchin,GL2487PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10347,Gloria Duchin,GL2432PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10348,Gloria Duchin,GL2415PJ,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10350,Gloria Duchin,GL2270ER,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10351,Gloria Duchin,GL2270EP,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10352,Gloria Duchin,GL2393X,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10353,Gloria Duchin,GL2395X,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10354,Gloria Duchin,GL2392EX,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10355,Gloria Duchin,GL2383X,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10356,Gloria Duchin,GL2382X,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10357,Gloria Duchin,GL237EX,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10358,Gloria Duchin,GL2414MG,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
